"","byhour","Freq"
"278","1492002000",441
"279","1492005600",402
"280","1492009200",552
"281","1492012800",981
"282","1492016400",1329
"283","1492020000",728
"284","1492023600",446
"285","1492027200",269
"286","1492030800",214
"287","1492034400",126
"288","1492038000",68
"289","1492041600",41
"290","1492045200",14
"291","1492048800",11
"292","1492052400",3
"293","1492056000",14
"294","1492059600",53
"295","1492063200",110
"296","1492066800",156
"297","1492070400",245
"298","1492074000",178
"299","1492077600",164
"300","1492081200",226
"301","1492084800",283
"302","1492088400",268
"303","1492092000",301
"304","1492095600",430
"305","1492099200",815
"306","1492102800",1181
"307","1492106400",774
"308","1492110000",456
"309","1492113600",256
"310","1492117200",206
"311","1492120800",131
"312","1492124400",63
"313","1492128000",47
"314","1492131600",26
"315","1492135200",16
"316","1492138800",2
"317","1492142400",13
"318","1492146000",57
"319","1492149600",217
"320","1492153200",546
"321","1492156800",819
"322","1492160400",457
"323","1492164000",367
"324","1492167600",571
"325","1492171200",589
"326","1492174800",668
"327","1492178400",699
"328","1492182000",793
"329","1492185600",1058
"330","1492189200",1060
"331","1492192800",704
"332","1492196400",412
"333","1492200000",79
"334","1492203600",86
"335","1492207200",102
"336","1492210800",104
"337","1492214400",69
"338","1492218000",78
"339","1492221600",35
"340","1492225200",35
"341","1492228800",23
"342","1492232400",16
"343","1492236000",49
"344","1492239600",167
"345","1492243200",395
"346","1492246800",692
"347","1492250400",1074
"348","1492254000",1546
"349","1492257600",1757
"350","1492261200",1747
"351","1492264800",1870
"352","1492268400",1791
"353","1492272000",1620
"354","1492275600",1563
"355","1492279200",1103
"356","1492282800",865
"357","1492286400",568
"358","1492290000",355
"359","1492293600",305
"360","1492297200",219
"361","1492300800",151
"362","1492304400",48
"363","1492308000",6
"364","1492311600",4
"365","1492315200",5
"366","1492318800",11
"367","1492322400",44
"368","1492326000",119
"369","1492329600",229
"370","1492333200",374
"371","1492336800",545
"372","1492340400",678
"373","1492344000",861
"374","1492347600",869
"375","1492351200",923
"376","1492354800",1033
"377","1492358400",1183
"378","1492362000",1048
"379","1492365600",840
"380","1492369200",585
"381","1492372800",380
"382","1492376400",254
"383","1492380000",143
"384","1492383600",66
"385","1492387200",50
"386","1492390800",22
"387","1492394400",18
"388","1492398000",6
"389","1492401600",10
"390","1492405200",96
"391","1492408800",409
"392","1492412400",907
"393","1492416000",1136
"394","1492419600",525
"395","1492423200",434
"396","1492426800",581
"397","1492430400",672
"398","1492434000",505
"399","1492437600",570
"400","1492441200",741
"401","1492444800",1072
"402","1492448400",1622
"403","1492452000",897
"404","1492455600",472
"405","1492459200",242
"406","1492462800",163
"407","1492466400",128
"408","1492470000",48
"409","1492473600",36
"410","1492477200",17
"411","1492480800",3
"412","1492484400",14
"413","1492488000",11
"414","1492491600",92
"415","1492495200",410
"416","1492498800",934
"417","1492502400",1211
"418","1492506000",552
"419","1492509600",371
"420","1492513200",488
"421","1492516800",564
"422","1492520400",592
"423","1492524000",571
"424","1492527600",700
"425","1492531200",1168
"426","1492534800",1917
"427","1492538400",1264
"428","1492542000",748
"429","1492545600",488
"430","1492549200",365
"431","1492552800",292
"432","1492556400",123
"433","1492560000",76
"434","1492563600",35
"435","1492567200",17
"436","1492570800",15
"437","1492574400",15
"438","1492578000",109
"439","1492581600",442
"440","1492585200",937
"441","1492588800",1175
"442","1492592400",414
"443","1492596000",297
"444","1492599600",344
"445","1492603200",105
"446","1492606800",178
"447","1492610400",245
"448","1492614000",361
"449","1492617600",764
"450","1492621200",1250
"451","1492624800",735
"452","1492628400",459
"453","1492632000",234
"454","1492635600",177
"455","1492639200",101
"456","1492642800",65
"457","1492646400",25
"458","1492650000",6
"459","1492653600",6
"460","1492657200",16
"461","1492660800",18
"462","1492664400",111
"463","1492668000",364
"464","1492671600",857
"465","1492675200",1143
"466","1492678800",516
"467","1492682400",403
"468","1492686000",367
"469","1492689600",413
"470","1492693200",494
"471","1492696800",566
"472","1492700400",698
"473","1492704000",1176
"474","1492707600",1682
"475","1492711200",1108
"476","1492714800",660
"477","1492718400",369
"478","1492722000",247
"479","1492725600",148
"480","1492729200",79
"481","1492732800",47
"482","1492736400",19
"483","1492740000",16
"484","1492743600",15
"485","1492747200",11
"486","1492750800",86
"487","1492754400",322
"488","1492758000",752
"489","1492761600",1027
"490","1492765200",448
"491","1492768800",354
"492","1492772400",458
"493","1492776000",449
"494","1492779600",421
"495","1492783200",439
"496","1492786800",541
"497","1492790400",971
"498","1492794000",1141
"499","1492797600",676
"500","1492801200",383
"501","1492804800",186
"502","1492808400",167
"503","1492812000",115
"504","1492815600",95
"505","1492819200",73
"506","1492822800",36
"507","1492826400",29
"508","1492830000",26
"509","1492833600",11
